reviewId,date,time,reviewCreatedVersion,country,score,thumbsUpCount,content,contentLength,sentiment,sentimentScore,contentLength,repliedAt,replyContent
gp:AOqpTOFBKIcD-NCuP0R7fS12raRTIYarfAV9kv_rYwqOPqNC8K4FOtuiPbgs3swwUgGSk5M_uNzIwKpMUDDX,2022-06-12,12:38:38,10.0.1.06,US,5,0,Very good app for computer engineering students. You can trust blindly.,11,POSITIVE,0.9987525939941406,11,,
gp:AOqpTOHgFacTuzYokVmU8xpSwdwjCRDGGe43ov0gNcqFELcM9ypEH_LPTK0h_1lakW_BFDDcJEUeORXL705X,2022-06-12,11:20:14,10.0.1.05,US,5,0,Nice,1,POSITIVE,0.9977694749832153,1,,
gp:AOqpTOFs2WiCw_qfsji7XWFv4Tps_08p0HBVeKbbMFEO00sExFOZCsr_XdOpqlg6sWRXRPMC58blDUfTsd1s,2022-06-10,14:39:08,10.0.1.05,US,5,5,"Since new update, cannot watch the course video that I'm enrolled in. It immediately crashes the entire app. Edit - it's fixed now, all is good.",26,NEGATIVE,0.9915024042129517,26,2022-06-10 10:36:05,"Hi, sorry for the inconvenience caused. This problem has been resolved. If you continue to have access problems, please contact us at support@geeksforgeeks.org."
gp:AOqpTOFV1tyfXizdXh7BdruGQJg0IAdMSjI4bUIs-6mmA-AJzy1FuQnerYFvyZlKaCbtTQ-Q6xh7c8ui1YCm,2022-06-10,11:08:18,10.0.1.05,US,5,0,App crashes as soon as I open the video lecture of a paid course. Please work on fixing this issue. Update: The issue is fixed now.,26,NEGATIVE,0.995246946811676,26,2022-06-10 10:35:22,"Hi, sorry for the inconvenience caused. This problem has been resolved. If you continue to have access problems, please contact us at support@geeksforgeeks.org."
gp:AOqpTOHp2L1vwfaB_8VidcwSxcmajJvdDAB72xi3CEcBG4q8A_dvvqOYlaBOr_Yu58VcMq5vW7_XTRP4_LGe,2022-06-10,10:57:53,10.0.1.05,US,5,0,Excellent App,2,POSITIVE,0.9986932873725891,2,2022-06-10 10:36:13,"Hi, sorry for the inconvenience caused. This problem has been resolved. If you continue to have access problems, please contact us at support@geeksforgeeks.org."
gp:AOqpTOHBojBT38zJ_zRNVbLnNXXM7XVWMon4nYHNMy1fUPri-9ELwQEtcLnhb4HvTy4yRypdyOCR7JWOD1zp,2022-06-09,12:13:11,10.0.1.05,US,3,0,Best app for making us ready for the coding job.,10,POSITIVE,0.9988221526145935,10,,
gp:AOqpTOF7w_n300ExChBJyOgD2U5feFtiIa-A6WeCgI8jPvOtJkRZNvz2NFduxzoqM_lwP8Df1HVe6T0J8rsM,2022-06-09,10:02:04,10.0.1.05,US,1,0,Why the vedios in the app are not opening can anyone fix it asap,14,NEGATIVE,0.9994416832923889,14,2022-06-10 10:34:59,"Hi, sorry for the inconvenience caused. This problem has now been resolved. If you continue to have access problems, please contact us at support@geeksforgeeks.org."
gp:AOqpTOGVNj_YWEhYNLd5KiaJy_rYGdtDad-00m0WEFLE6TsnY3ynRrcbj_GnaVpdVU-Mh7d19R4hkI_oK0ER,2022-06-08,22:32:52,10.0.1.05,US,1,0,Force close when playing course video. Please fix it ASAP.,10,NEGATIVE,0.9991900324821472,10,2022-06-10 10:35:33,"Hi, sorry for the inconvenience caused. This problem has been resolved. If you continue to have access problems, please contact us at support@geeksforgeeks.org."
gp:AOqpTOE_jMxlM43-ddvnLBcVnnnfnzKDz89OV99UV_f-TBjosbsV-yV4pA-U3_OAJGMOODdpWcrwvzeeYB2w,2022-06-08,22:12:26,,US,3,0,App crashes once I try to play my dsa course video,11,NEGATIVE,0.9994764924049377,11,2022-06-10 10:35:40,"Hi, sorry for the inconvenience caused. This problem has been resolved. If you continue to have access problems, please contact us at support@geeksforgeeks.org."
gp:AOqpTOHXkivKnlLz0bwon7dNx8pjxzuvqdlBv-MnTq2iFCKsTIF6l5lWX45VgyLQ02eiNHrrcKrLLfoXH693,2022-06-08,19:41:39,10.0.1.05,US,3,0,I can't play video on my paid DSA course... Plz do something,12,NEGATIVE,0.9994485974311829,12,2022-06-10 10:35:47,"Hi, sorry for the inconvenience caused. This problem has been resolved. If you continue to have access problems, please contact us at support@geeksforgeeks.org."
gp:AOqpTOEKSm9vND29JqgqYX6U84BjkPUJwhqSLkFf-mTSptvSGqgIS80ltWH5HTDHS-uf72utVyk2R1GHDgRw,2022-06-07,09:58:10,10.0.1.05,US,4,5,Video history should be saved. At least theere should be a marker for the videos I've finished in my course.,20,POSITIVE,0.989441990852356,20,,
gp:AOqpTOGah5dBxGvxAV6ddRAU8w4invX8augtT50ZG10DCI2RGOAa_j0N6Ift79V7apxAyGuufhQqpX34sIe7,2022-06-05,03:46:40,10.0.1.05,US,5,1,Content and courses are fine tailored,6,POSITIVE,0.9987995624542236,6,,
gp:AOqpTOFe4i3chPhf93M2bLobtYdo8vR9voHz53f1MccvUdVn-X9MjeYT5xlSH3vWKOOcIBRcFYHrMC7ku9i0,2022-06-02,02:26:02,10.0.1.05,US,5,0,Geek yeah,2,POSITIVE,0.9951097369194031,2,,
gp:AOqpTOFb1cD4qlSHgVhiczalmIcJRI7Hh4yY2n7p3lrd8L8xPA31r0Dy2HoBQfYsJHGQrF_wMyp2Zm5Dpao1,2022-05-30,12:03:10,10.0.0.13,US,5,0,Best 👍 app for computer student,6,POSITIVE,0.9984530210494995,6,,
gp:AOqpTOFuDs9vNrN7JIS8s2PYA6mTaTqCo7LATH1xaE4IgTkCcNzr3Rb2AIEMD4GM_Kmt25ZEXlANWTNk6cMk,2022-05-29,19:46:03,,US,5,0,Nice,1,POSITIVE,0.9977694749832153,1,,
gp:AOqpTOFyM5Voaa6C-WGQQPEuLh02YstG5ScbwV_I6fKZ3HJUtBmURw4902EwwHnYTLVInMwAgTgnJIJD2Qdu,2022-05-28,15:57:41,10.0.1.05,US,5,0,Correction: I think it should be DS and Algo,9,NEGATIVE,0.9880717992782593,9,,
gp:AOqpTOFOwpjFqDEjDVhYkmA7asxbHgb-oAh7wtlxK0jVj2tQ337uI3gYtLs3j7LbAbRF52zfqxg48opCC2gG,2022-05-24,04:55:14,,US,5,0,👌👌👌👌,1,POSITIVE,0.9983701109886169,1,,
gp:AOqpTOF_NZstIEbz9GoCrJr1S-w0_qvfRWHrSqc0N9K9bPeum7VfQ_Mbjgoy8By2EXAeadsZWJG1SyUxlkqi,2022-05-23,18:15:48,10.0.1.05,US,2,12,I CANNOT LOGIN Please help Login in websites is fine but the moment I'm trying to login in the application it's saying something went wrong and it's not opening.. Please help!!,31,NEGATIVE,0.9994924068450928,31,2022-06-10 10:36:43,"Hi, we would like to fix this. As we don't have your email address, can you please write to us at support@geeksforgeeks.org so that we can help you better. We look forward to your email."
gp:AOqpTOGIrqbp2VuTkNca7QA9aLNQuKBT1PChZEWcB1hIfTGpp9gkUIuPflBo79pmUkCaOttsz9o5zpUKROy5,2022-05-23,11:38:00,10.0.1.05,US,5,0,Excellent app,2,POSITIVE,0.9987204074859619,2,,
gp:AOqpTOG4jsVbvor7wltQXOs1PtIZSz-rW2CaaC2DuubkrfzqR6ZQDwOblOqAMarc913uyo-OWbB9mE2hquDV,2022-05-21,18:19:01,10.0.1.05,US,5,0,Awesome product.,2,POSITIVE,0.9987571239471436,2,,
gp:AOqpTOFJ7w1ihuHIpmm8NPdIHwJP7iXFwKIdLS2aKw1f169rK6BkqU-j9rNCDtLTlxnzILkhi-BE_dl0ASSP,2022-05-18,16:16:19,,US,5,0,Love this apk,3,POSITIVE,0.9987469911575317,3,,
gp:AOqpTOE-ke1bTunV9DSc1m-fI8mbDWHY6ONz9xwYeQ8Z5kNTenrqNtVaZFIqJfYAboqCVT9HND-5YL6J9hY9,2022-05-16,00:44:34,9.1.4,US,1,1,Based on Article written by Technical Peoples,7,POSITIVE,0.9904738068580627,7,,
gp:AOqpTOGaGYFafssjqOVAR3XW6nyFxEb-B0tdwdoGhWb72Pa-XQa9oS3iEPNKuuBq-9OZB0px6nNpop5fGTTz,2022-05-09,14:08:06,,US,5,0,"The ultimate app to learn coding and their course are ""The best"" in the market",15,POSITIVE,0.9988085031509399,15,,
gp:AOqpTOF456cTb_20Jzy936e-ie6sDteeg--9DoWVvj9A42dDM9x_vEIouxzWwSd_mNDJud-W-d7BJvrLrG-F,2022-05-07,12:04:10,10.0.0.10,US,5,0,Thank you for everything you prepare for Developer. It helps lot.,11,POSITIVE,0.9988007545471191,11,,
gp:AOqpTOEMMycp_l7zU9qVECGsESUMs0MW-u7p4iQFVZLZiDXKv6N4QWhFWuQAFrnjxnTzNuvqXR816KgY9n9M,2022-05-05,18:17:02,10.0.1.03,US,5,0,Good Application Boss,3,POSITIVE,0.9986475110054016,3,,
gp:AOqpTOHaz82Ks1BbkqZTJrJh9-n-5lM7I7TXcHg7h4_F5lwVIZIlwmoAnTXhheQndOisEPimgGRSzCD1U04Y,2022-05-05,15:26:32,,US,5,0,"Really easy to learn with great UI, contents are complete and clear",12,POSITIVE,0.9989105463027954,12,,
gp:AOqpTOE7d59600ECRUgWjI6IV8zQ5hIR5-ivM0efo9NWoHfs8ABAtDHVCIqygytgIR_QsQrUZCYb_lBeRqLw,2022-05-04,07:48:54,10.0.1.03,US,5,0,Best of Best,3,POSITIVE,0.9975548386573792,3,,
gp:AOqpTOGhkGE2vOpVxvMLJvlxu1z2pSFKpTCbJIAgNrY1qP9AulwuzXuxUpg6iKazaO7M3KjtHbG7Cg7-Zodn,2022-05-01,21:15:12,,US,5,0,"This is very cheap website to use, because they are responed the questions very late and is that very disappoint experience to use this and they are fraud",28,NEGATIVE,0.9995017051696777,28,,
